PL Run 1 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
EM_ITER=4 | GAMMA=1.5
OmegaTransformer: 275,010 parameters

============================================================
EM Iteration 1/4
Iter 1: uniform weights (standard BCE)
  [EM3] Ep 009 | Ω:0.599 A:0.702 A@.55:0.663 Score:0.3006 | LR:0.000250 | ni:5/25
  [EM3] Ep 010 | Ω:0.599 A:0.703 A@.55:0.663 Score:0.3020 | LR:0.000250 | ni:6/25
  [EM3] Ep 011 | Ω:0.597 A:0.705 A@.55:0.665 Score:0.3011 | LR:0.000250 | ni:7/25
  [EM3] Ep 012 | Ω:0.596 A:0.705 A@.55:0.665 Score:0.3012 | LR:0.000250 | ni:8/25
  [EM3] Ep 013 | Ω:0.597 A:0.703 A@.55:0.663 Score:0.3005 | LR:0.000250 | ni:9/25
  [EM3] Ep 014 | Ω:0.598 A:0.703 A@.55:0.663 Score:0.3014 | LR:0.000250 | ni:10/25
  [EM3] Ep 015 | Ω:0.598 A:0.703 A@.55:0.662 Score:0.3011 | LR:0.000125 | ni:11/25
  [EM3] Ep 016 | Ω:0.598 A:0.703 A@.55:0.663 Score:0.3010 | LR:0.000125 | ni:12/25
  [EM3] Ep 017 | Ω:0.600 A:0.702 A@.55:0.660 Score:0.3012 | LR:0.000125 | ni:13/25
  [EM3] Ep 018 | Ω:0.599 A:0.700 A@.55:0.660 Score:0.2995 | LR:0.000125 | ni:14/25
  [EM3] Ep 019 | Ω:0.599 A:0.701 A@.55:0.663 Score:0.3002 | LR:0.000125 | ni:15/25
  [EM3] Ep 020 | Ω:0.599 A:0.701 A@.55:0.661 Score:0.3005 | LR:0.000125 | ni:16/25
  [EM3] Ep 021 | Ω:0.599 A:0.701 A@.55:0.661 Score:0.3000 | LR:0.000063 | ni:17/25
  [EM3] Ep 022 | Ω:0.598 A:0.703 A@.55:0.662 Score:0.3012 | LR:0.000063 | ni:18/25
  [EM3] Ep 023 | Ω:0.599 A:0.703 A@.55:0.662 Score:0.3012 | LR:0.000063 | ni:19/25
  [EM3] Ep 024 | Ω:0.598 A:0.702 A@.55:0.662 Score:0.3002 | LR:0.000063 | ni:20/25
  [EM3] Ep 025 | Ω:0.598 A:0.703 A@.55:0.661 Score:0.3010 | LR:0.000063 | ni:21/25
  [EM3] Ep 026 | Ω:0.599 A:0.701 A@.55:0.661 Score:0.3001 | LR:0.000063 | ni:22/25
  [EM3] Ep 027 | Ω:0.599 A:0.702 A@.55:0.661 Score:0.3005 | LR:0.000031 | ni:23/25
  [EM3] Ep 028 | Ω:0.598 A:0.702 A@.55:0.662 Score:0.3008 | LR:0.000031 | ni:24/25
  Early stopping at epoch 28
EM iter 3 best: Score=0.3021 Anti=0.7028 A@.55=0.6621

============================================================
EM Iteration 4/4
E-step: computing per-event weights from current model...
  Omega weight stats: mean=0.4499 min=0.0000 max=0.9803
  [EM4] Ep 001 | Ω:0.592 A:0.710 A@.55:0.673 Score:0.3024 | LR:0.000500 | ni:0/25
  [EM4] Ep 002 | Ω:0.591 A:0.708 A@.55:0.674 Score:0.2993 | LR:0.000500 | ni:0/25
  [EM4] Ep 003 | Ω:0.592 A:0.708 A@.55:0.673 Score:0.2996 | LR:0.000500 | ni:1/25
  [EM4] Ep 004 | Ω:0.590 A:0.708 A@.55:0.675 Score:0.2979 | LR:0.000500 | ni:2/25
  [EM4] Ep 005 | Ω:0.591 A:0.708 A@.55:0.675 Score:0.2986 | LR:0.000500 | ni:3/25
  [EM4] Ep 006 | Ω:0.590 A:0.709 A@.55:0.676 Score:0.2993 | LR:0.000500 | ni:4/25
  [EM4] Ep 007 | Ω:0.590 A:0.708 A@.55:0.676 Score:0.2980 | LR:0.000250 | ni:5/25
  [EM4] Ep 008 | Ω:0.590 A:0.710 A@.55:0.676 Score:0.2998 | LR:0.000250 | ni:6/25
  [EM4] Ep 009 | Ω:0.589 A:0.709 A@.55:0.677 Score:0.2984 | LR:0.000250 | ni:7/25
  [EM4] Ep 010 | Ω:0.590 A:0.710 A@.55:0.676 Score:0.2996 | LR:0.000250 | ni:8/25
